start_id,end_id
https://www.linkedin.com/in/charlotte-olsmar-6b048758,Grundare
https://www.linkedin.com/in/nicoleluyten,Marketing Manager
https://www.linkedin.com/in/naomi-w-ciira,Global Entrepreneurship and Innovation Coordinator
https://www.linkedin.com/in/karin-cap%C3%B3-milding-265a8a21,CEO
https://www.linkedin.com/in/james-ndiritu-ph-d-70a6a424,Agribusiness Consultant
https://www.linkedin.com/in/dario-petrakis-3b375279,Sustainability Advisor
https://www.linkedin.com/in/satuahlman,"CEO & Advisor, Leadership, Resilience and Corporate Cultures"
https://www.linkedin.com/in/lotta-m%C3%A5nsson-97580473,Rektor
https://www.linkedin.com/in/quinci-c-364354282,Communications & Community Manager
https://www.linkedin.com/in/frida-sv%C3%A4rdby-b6548032,Sustainability & Quality Manager
https://www.linkedin.com/in/eleonora-scalera,Communication Officer
https://www.linkedin.com/in/phamhlinh,Communications and Design Consultant
https://www.linkedin.com/in/christopher-caldwell-a8a196,CEO
https://www.linkedin.com/in/ludwig-anderz%C3%A9n-736715206,Founder
https://www.linkedin.com/in/annalandeborg,Senior Consultant Sustainable Development
https://www.linkedin.com/in/philberry,"Director, Office of Sustainability"
https://www.linkedin.com/in/tristan-post,Lecturer for AI for Innovation and Entrepreneurship
https://www.linkedin.com/in/yriskayser,Founder
https://www.linkedin.com/in/v%C3%A9ronique-schons-7257033,Responsable Division Leadership Pédagogique
https://www.linkedin.com/in/demy-dede-499aa2105,SEL/SEN Lead
https://www.linkedin.com/in/jens-kleiman-293b9b220,Rektor
https://www.linkedin.com/in/richard-joannides-1679505,European Board Member of Emory University SEE Learning
https://www.linkedin.com/in/charlotte-l%C3%B6fqvist-7978a8224,Rektor
https://www.linkedin.com/in/giuliana-wheater-ba-hons-mcma-23b54980,Ambassador
https://www.linkedin.com/in/christine-wamsler-3b74a57a,nan
https://www.linkedin.com/in/mirva-rosendahl-82133b212,Karriär- och ledarskapscoach
https://www.linkedin.com/in/sarahelahina,Founder & Quantum Consultant
https://www.linkedin.com/in/camilla-ma-ra,CEO
https://www.linkedin.com/in/mckenzie-papp-157130210,Student
https://www.linkedin.com/in/jeppestricker,Head of Administration
https://www.linkedin.com/in/juan-carlos-amorrortu-0907b7281,Resident Artist & Designer User Experience
https://www.linkedin.com/in/carlos-perez-baez-a19638162,Sustainability Specialist
https://www.linkedin.com/in/shkurte-momcilla-973b8372,Svenska som andraspråk lärare
https://www.linkedin.com/in/richardpate,CEO & Founder
https://www.linkedin.com/in/beatrizjprocopio,Diretora de Projetos e Parcerias
https://www.linkedin.com/in/peterjosefsson,Affärsutvecklare
https://www.linkedin.com/in/eulaliaguiu,President
https://www.linkedin.com/in/mariatuohy,Tuohy Private Tutoring
https://www.linkedin.com/in/fredrik-throb%C3%A4ck-9b0851a5,Partneransvarig
https://www.linkedin.com/in/bert-orgaer-76943869,PYP Grade 5 Teacher
https://www.linkedin.com/in/nina-vir%C3%A9n-918234254,Board Member
https://www.linkedin.com/in/rgrant888,Founder and CEO
https://www.linkedin.com/in/patricia-cedervall-69521026,Områdeschef
https://www.linkedin.com/in/buggeholmhansen,Senior Futurist & Head of Innovation and Technology
https://www.linkedin.com/in/yuri-hirayama,"Chief Sustainability Officer, School Director, Principal Educator"
https://www.linkedin.com/in/sophie-gripenberg-8136b665,Communication Manager
https://www.linkedin.com/in/canales-richard-a7791724b,Project Development Manager
https://www.linkedin.com/in/emma-westerlund-66b362a,Education- and Sustainability Designer / Head of Degree Programmes in Visual Arts
https://www.linkedin.com/in/madelina-barve-68617a268,Junior Office Co-ordinator
https://www.linkedin.com/in/malokoud,Executive Director
https://www.linkedin.com/in/sanna-wigg-1540265,Chef- och ledarutvecklare/Leadership developer
https://www.linkedin.com/in/marcus-ottosson-b8887b2a,CEO
https://www.linkedin.com/in/andrea-jungaberle-1b9036150,CEO & Medical Director
https://www.linkedin.com/in/lindavonbeetzen,Sales And Marketing Specialist - Customer Engagement Manager
https://www.linkedin.com/in/adilennaimi,IT-koordinator
https://www.linkedin.com/in/kaue-kaleshi,Professor de Competências Socioemocionais
https://www.linkedin.com/in/isa-fournier-coach-transition,coachISA
https://www.linkedin.com/in/katarina-wendin-52555879,Rektor
https://www.linkedin.com/in/alexandra-dannerljung-7987b8a4,Rektor
https://www.linkedin.com/in/nanna-spetz-msc-lp-01276862,Wellbeing Health Coach
https://www.linkedin.com/in/jennybergnilson,Styrelseordförande
https://www.linkedin.com/in/visa-vir%C3%A9n,"Entrepreneur, Founder"
https://www.linkedin.com/in/jenni-kincaid,Director
https://www.linkedin.com/in/robertohanas,Director of Operations
https://www.linkedin.com/in/rebecca-pryce-153680103,Sustainability Manager Public Affairs
https://www.linkedin.com/in/gabriela-martinez-a69203106,School Principal
https://www.linkedin.com/in/layla-husain,Service Designer / Transformation Leader
https://www.linkedin.com/in/audree-barv%C3%A9-984283257,Creative Psychotherapist
